id,severity,priority,component,source_remediation_status,evidence_status,remediation_files,validation,remaining_release_gate
REL-001,HIGH,P0,Release validation,SOURCE_REMEDIATED,LOCAL_STATIC_VALIDATED,scripts/release/validate_v6_2_0.py; scripts/release/validate_v6_1_3.py; validate_release.sh,./validate_release.sh --structure-only; static-hardening-check.sh,CI full validator
DOC-001,HIGH,P0,Release evidence,SOURCE_REMEDIATED,LOCAL_STATIC_VALIDATED,PACKAGE_AUDIT_REPORT.md; docs/TRACEABILITY.md,canonical validator markers,artifact SHA after packaging
TEN-001,HIGH,P0,PostgreSQL tenant context,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-api-enterprise/src/lib/db-context.js; bevoac-worker-enterprise/src/lib/db-context.js,API and worker db-context-v620.test.js,PostgreSQL pool/RLS integration
SEC-APIM-001,HIGH,P0,APIM/backend boundary,SOURCE_REMEDIATED,SOURCE_AND_PURE_HELPER_VALIDATED,bevoac-api-enterprise/src/plugins/apim-backend-boundary.js; bevoac-api-enterprise/src/lib/apim-boundary.js; bevoac-iac-enterprise/v620-apim-backend-boundary.tf; bevoac-iac-enterprise/api-gateway-apim.tf,apim-boundary-v620.test.js; source/static IaC gates,Terraform validate/plan and live direct-vs-APIM smoke
IDEM-001,HIGH,P0,Idempotency,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-api-enterprise/src/lib/canonical-json.js; bevoac-api-enterprise/src/services/scan-service.js; bevoac-api-enterprise/migrations/202608030001_v620_request_integrity_worker_resilience.sql,idempotency-fingerprint-v620.test.js,PostgreSQL integration/race test
IDEM-002,MEDIUM,P1,Database error mapping,SOURCE_REMEDIATED,LOCAL_STATIC_VALIDATED,bevoac-api-enterprise/src/services/scan-service.js,constraint-specific source check,PostgreSQL constraint integration
AZR-001,HIGH,P0,Azure resource preflight,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-api-enterprise/contracts/module-catalog.json; bevoac-worker-enterprise/contracts/module-catalog.json; module-catalog.js; resource-preflight.js; azureInfra.js,module-catalog-v620.test.js; module-catalog-preflight-v620.test.js,full worker test with Azure SDK installed
AZR-002,HIGH,P0,Azure Resource Graph,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-worker-enterprise/src/lib/resource-graph.js; resource-graph-evidence.js; affected modules,resource-graph-pagination-v620.test.js,Azure large-tenant acceptance
WRK-001,HIGH,P0,Worker error semantics,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-worker-enterprise/src/lib/worker-errors.js; src/services/message-processor.js; src/services/scan-store.js; DB migration,worker-errors-v620.test.js; message-processor-retry-v620.test.js,Service Bus integration
WRK-002,HIGH,P0,Error disclosure,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-worker-enterprise/src/lib/result-sanitizer.js; worker-errors.js; scan-store.js,result-sanitizer-v620.test.js; worker-errors-v620.test.js,customer JSON/PDF integration
WRK-003,MEDIUM,P1,Timeout/cancellation,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,module-timeout.js; abort.js; resource-graph.js; resource-preflight.js; audit-runner.js; network-guard.js; checkSSL.js; runNmap.js,module-timeout-v620.test.js,SDK/network integration and load
WRK-004,MEDIUM,P1,Dependency injection,SOURCE_REMEDIATED,LOCAL_STATIC_VALIDATED,bevoac-worker-enterprise/src/services/message-processor.js,mergeDependencies source/test,full worker tests
WRK-005,MEDIUM,P1,Web module semantics,SOURCE_REMEDIATED,LOCAL_STATIC_VALIDATED,bevoac-worker-enterprise/src/services/audit-runner.js; status-semantics.js,webExecutionStatus source test coverage,full worker tests
WEB-001,MEDIUM,P1,Web target privacy,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-worker-enterprise/src/lib/network-guard.js; result-sanitizer.js; audit-runner.js,result-sanitizer-v620.test.js,E2E logs/result review
LOG-001,MEDIUM,P1,Retry logging,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-worker-enterprise/src/lib/retry.js; worker-errors.js,worker-errors-v620.test.js,E2E log review
API-001,HIGH,P0,HTTP input validation,SOURCE_REMEDIATED,SOURCE_VALIDATED,bevoac-api-enterprise/src/routes/scans.js; routes/onboarding-azure.js,http-schema-v620.test.js,Fastify integration
API-002,MEDIUM,P1,Sensitive response caching,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-api-enterprise/src/lib/http-security-policy.js; plugins/security-headers.js,security-headers-v620.test.js,Fastify response integration
API-003,MEDIUM,P1,OpenAPI/Swagger,SOURCE_REMEDIATED,SOURCE_VALIDATED,bevoac-api-enterprise/src/plugins/swagger.js; src/config/env.js,canonical validator,production startup smoke
API-004,MEDIUM,P1,Health probes,SOURCE_REMEDIATED,SOURCE_VALIDATED,bevoac-api-enterprise/src/routes/health.js,source/syntax gates,live liveness/readiness/deep smoke
API-005,MEDIUM,P1,HTTP security headers,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-api-enterprise/src/lib/http-security-policy.js; plugins/security-headers.js,security-headers-v620.test.js,Fastify integration
